sample_id,group,model,sloc,nom,wmc,nof,n_smells,td_density,smell_LongMethod,smell_HighComplexity,smell_ComplexConditional,smell_GodClass,smell_LongParamList,smell_DeepNesting,smell_Duplicate,dup_logic,dup_echo,n_smells_logic,density_logic
ClassEval_0,AI,Qwen2.5-Coder-1.5B,28,5,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_1,AI,Qwen2.5-Coder-1.5B,13,6,6,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_2,AI,Qwen2.5-Coder-1.5B,26,5,10,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_3,AI,Qwen2.5-Coder-1.5B,19,6,10,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_4,AI,Qwen2.5-Coder-1.5B,46,7,21,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_5,AI,Qwen2.5-Coder-1.5B,19,3,10,1,1,52.631578947368425,0,0,0,0,0,1,0,0,0,1,52.63157894736842
ClassEval_6,AI,Qwen2.5-Coder-1.5B,17,3,5,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_7,AI,Qwen2.5-Coder-1.5B,15,3,8,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_8,AI,Qwen2.5-Coder-1.5B,18,5,8,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_9,AI,Qwen2.5-Coder-1.5B,49,3,19,0,1,20.408163265306122,0,0,0,0,0,0,1,1,0,1,20.408163265306122
ClassEval_10,AI,Qwen2.5-Coder-1.5B,15,5,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_11,AI,Qwen2.5-Coder-1.5B,17,4,13,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_12,AI,Qwen2.5-Coder-1.5B,19,4,11,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_13,AI,Qwen2.5-Coder-1.5B,18,5,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_14,AI,Qwen2.5-Coder-1.5B,22,7,7,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_15,AI,Qwen2.5-Coder-1.5B,20,4,9,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_16,AI,Qwen2.5-Coder-1.5B,39,4,18,1,1,25.641025641025642,0,1,0,0,0,0,0,0,0,1,25.64102564102564
ClassEval_17,AI,Qwen2.5-Coder-1.5B,18,7,11,1,1,55.55555555555556,0,0,0,0,0,1,0,0,0,1,55.55555555555555
ClassEval_18,AI,Qwen2.5-Coder-1.5B,17,8,12,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_19,AI,Qwen2.5-Coder-1.5B,18,3,9,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_20,AI,Qwen2.5-Coder-1.5B,13,5,7,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_21,AI,Qwen2.5-Coder-1.5B,33,5,16,2,1,30.3030303030303,0,0,1,0,0,0,0,0,0,1,30.303030303030305
ClassEval_22,AI,Qwen2.5-Coder-1.5B,10,3,4,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_23,AI,Qwen2.5-Coder-1.5B,42,6,20,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_24,AI,Qwen2.5-Coder-1.5B,16,5,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_25,AI,Qwen2.5-Coder-1.5B,21,4,9,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_26,AI,Qwen2.5-Coder-1.5B,23,4,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_27,AI,Qwen2.5-Coder-1.5B,19,5,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_28,AI,Qwen2.5-Coder-1.5B,30,5,5,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_29,AI,Qwen2.5-Coder-1.5B,14,3,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_30,AI,Qwen2.5-Coder-1.5B,17,7,8,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_31,AI,Qwen2.5-Coder-1.5B,6,4,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_32,AI,Qwen2.5-Coder-1.5B,42,4,15,1,1,23.809523809523807,0,0,0,0,0,0,1,1,0,1,23.809523809523807
ClassEval_33,AI,Qwen2.5-Coder-1.5B,11,6,6,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_34,AI,Qwen2.5-Coder-1.5B,37,6,14,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_35,AI,Qwen2.5-Coder-1.5B,52,5,22,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_36,AI,Qwen2.5-Coder-1.5B,24,6,11,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_37,AI,Qwen2.5-Coder-1.5B,41,4,14,1,1,24.390243902439025,0,0,0,0,0,0,1,1,0,1,24.390243902439025
ClassEval_38,AI,Qwen2.5-Coder-1.5B,29,4,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_39,AI,Qwen2.5-Coder-1.5B,11,7,7,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_40,AI,Qwen2.5-Coder-1.5B,28,4,11,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_41,AI,Qwen2.5-Coder-1.5B,32,5,19,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_42,AI,Qwen2.5-Coder-1.5B,29,5,14,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_43,AI,Qwen2.5-Coder-1.5B,25,6,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_44,AI,Qwen2.5-Coder-1.5B,30,4,8,9,1,33.333333333333336,0,0,0,0,0,0,1,0,1,0,0.0
ClassEval_45,AI,Qwen2.5-Coder-1.5B,14,6,6,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_46,AI,Qwen2.5-Coder-1.5B,20,3,15,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_47,AI,Qwen2.5-Coder-1.5B,21,4,12,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_48,AI,Qwen2.5-Coder-1.5B,16,3,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_49,AI,Qwen2.5-Coder-1.5B,18,7,15,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_50,AI,Qwen2.5-Coder-1.5B,26,3,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_51,AI,Qwen2.5-Coder-1.5B,19,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_52,AI,Qwen2.5-Coder-1.5B,28,4,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_53,AI,Qwen2.5-Coder-1.5B,13,3,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_54,AI,Qwen2.5-Coder-1.5B,54,6,31,3,1,18.51851851851852,0,0,0,0,0,0,1,0,1,0,0.0
ClassEval_55,AI,Qwen2.5-Coder-1.5B,27,3,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_56,AI,Qwen2.5-Coder-1.5B,25,6,10,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_57,AI,Qwen2.5-Coder-1.5B,40,3,13,0,2,50.0,0,0,0,0,0,0,2,1,1,1,25.0
ClassEval_58,AI,Qwen2.5-Coder-1.5B,27,5,17,5,2,74.07407407407408,0,1,1,0,0,0,0,0,0,2,74.07407407407408
ClassEval_59,AI,Qwen2.5-Coder-1.5B,24,4,12,1,2,83.33333333333333,0,0,0,0,0,1,1,0,1,1,41.666666666666664
ClassEval_60,AI,Qwen2.5-Coder-1.5B,17,5,5,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_61,AI,Qwen2.5-Coder-1.5B,18,9,10,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_62,AI,Qwen2.5-Coder-1.5B,8,3,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_63,AI,Qwen2.5-Coder-1.5B,7,3,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_64,AI,Qwen2.5-Coder-1.5B,13,6,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_65,AI,Qwen2.5-Coder-1.5B,64,6,27,5,1,15.625,0,1,0,0,0,0,0,0,0,1,15.625
ClassEval_66,AI,Qwen2.5-Coder-1.5B,25,3,11,0,1,40.0,0,0,0,0,0,1,0,0,0,1,40.0
ClassEval_67,AI,Qwen2.5-Coder-1.5B,23,4,9,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_68,AI,Qwen2.5-Coder-1.5B,22,4,6,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_69,AI,Qwen2.5-Coder-1.5B,21,3,8,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_70,AI,Qwen2.5-Coder-1.5B,18,4,9,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_71,AI,Qwen2.5-Coder-1.5B,34,4,16,7,2,58.8235294117647,0,1,0,0,0,1,0,0,0,2,58.8235294117647
ClassEval_72,AI,Qwen2.5-Coder-1.5B,25,11,11,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_73,AI,Qwen2.5-Coder-1.5B,26,5,6,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_74,AI,Qwen2.5-Coder-1.5B,15,6,8,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_75,AI,Qwen2.5-Coder-1.5B,19,5,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_76,AI,Qwen2.5-Coder-1.5B,21,6,13,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_77,AI,Qwen2.5-Coder-1.5B,41,5,16,7,2,48.78048780487805,0,1,1,0,0,0,0,0,0,2,48.78048780487805
ClassEval_78,AI,Qwen2.5-Coder-1.5B,13,3,5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_79,AI,Qwen2.5-Coder-1.5B,22,7,13,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_80,AI,Qwen2.5-Coder-1.5B,17,4,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_81,AI,Qwen2.5-Coder-1.5B,43,8,19,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_82,AI,Qwen2.5-Coder-1.5B,11,8,8,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_83,AI,Qwen2.5-Coder-1.5B,28,5,5,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_84,AI,Qwen2.5-Coder-1.5B,21,5,13,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_85,AI,Qwen2.5-Coder-1.5B,21,8,11,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_86,AI,Qwen2.5-Coder-1.5B,28,4,17,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_87,AI,Qwen2.5-Coder-1.5B,21,8,8,1,1,47.61904761904761,0,0,0,0,1,0,0,0,0,1,47.61904761904761
ClassEval_88,AI,Qwen2.5-Coder-1.5B,19,6,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_89,AI,Qwen2.5-Coder-1.5B,101,4,10,1,2,19.801980198019802,1,0,0,0,0,1,0,0,0,2,19.801980198019802
ClassEval_90,AI,Qwen2.5-Coder-1.5B,22,6,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_91,AI,Qwen2.5-Coder-1.5B,8,4,4,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_92,AI,Qwen2.5-Coder-1.5B,19,6,6,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_93,AI,Qwen2.5-Coder-1.5B,9,4,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_94,AI,Qwen2.5-Coder-1.5B,28,6,12,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_95,AI,Qwen2.5-Coder-1.5B,13,7,8,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_96,AI,Qwen2.5-Coder-1.5B,22,5,8,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_97,AI,Qwen2.5-Coder-1.5B,34,3,13,6,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_98,AI,Qwen2.5-Coder-1.5B,33,5,10,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_99,AI,Qwen2.5-Coder-1.5B,31,5,14,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_0,AI,Qwen2.5-Coder-3B,23,5,10,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_1,AI,Qwen2.5-Coder-3B,13,6,6,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_2,AI,Qwen2.5-Coder-3B,36,5,14,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_3,AI,Qwen2.5-Coder-3B,19,6,13,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_4,AI,Qwen2.5-Coder-3B,31,7,20,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_5,AI,Qwen2.5-Coder-3B,18,3,8,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_6,AI,Qwen2.5-Coder-3B,16,3,5,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_7,AI,Qwen2.5-Coder-3B,16,3,10,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_8,AI,Qwen2.5-Coder-3B,24,5,10,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_9,AI,Qwen2.5-Coder-3B,52,3,15,0,1,19.23076923076923,0,0,0,0,0,0,1,1,0,1,19.230769230769234
ClassEval_10,AI,Qwen2.5-Coder-3B,21,5,8,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_11,AI,Qwen2.5-Coder-3B,27,4,21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_12,AI,Qwen2.5-Coder-3B,39,4,17,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_13,AI,Qwen2.5-Coder-3B,19,5,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_14,AI,Qwen2.5-Coder-3B,23,7,7,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_15,AI,Qwen2.5-Coder-3B,22,4,9,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_16,AI,Qwen2.5-Coder-3B,46,4,19,1,1,21.73913043478261,0,1,0,0,0,0,0,0,0,1,21.73913043478261
ClassEval_17,AI,Qwen2.5-Coder-3B,26,7,19,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_18,AI,Qwen2.5-Coder-3B,17,8,10,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_19,AI,Qwen2.5-Coder-3B,21,3,9,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_20,AI,Qwen2.5-Coder-3B,23,5,10,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_21,AI,Qwen2.5-Coder-3B,27,5,17,2,1,37.03703703703704,0,0,1,0,0,0,0,0,0,1,37.03703703703704
ClassEval_22,AI,Qwen2.5-Coder-3B,25,6,14,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_23,AI,Qwen2.5-Coder-3B,26,6,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_24,AI,Qwen2.5-Coder-3B,16,5,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_25,AI,Qwen2.5-Coder-3B,21,4,8,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_26,AI,Qwen2.5-Coder-3B,23,4,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_27,AI,Qwen2.5-Coder-3B,19,5,9,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_28,AI,Qwen2.5-Coder-3B,21,5,6,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_29,AI,Qwen2.5-Coder-3B,25,3,9,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_30,AI,Qwen2.5-Coder-3B,20,7,8,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_31,AI,Qwen2.5-Coder-3B,35,4,15,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_32,AI,Qwen2.5-Coder-3B,43,4,14,1,1,23.255813953488374,0,0,0,0,0,0,1,1,0,1,23.25581395348837
ClassEval_33,AI,Qwen2.5-Coder-3B,30,6,13,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_34,AI,Qwen2.5-Coder-3B,36,6,12,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_35,AI,Qwen2.5-Coder-3B,60,5,29,2,1,16.666666666666668,0,1,0,0,0,0,0,0,0,1,16.666666666666668
ClassEval_36,AI,Qwen2.5-Coder-3B,24,6,11,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_37,AI,Qwen2.5-Coder-3B,35,4,14,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_38,AI,Qwen2.5-Coder-3B,34,4,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_39,AI,Qwen2.5-Coder-3B,32,7,17,2,1,31.25,0,1,0,0,0,0,0,0,0,1,31.25
ClassEval_40,AI,Qwen2.5-Coder-3B,27,4,11,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_41,AI,Qwen2.5-Coder-3B,24,4,21,3,2,83.33333333333333,0,0,2,0,0,0,0,0,0,2,83.33333333333333
ClassEval_42,AI,Qwen2.5-Coder-3B,28,5,12,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_43,AI,Qwen2.5-Coder-3B,24,6,10,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_44,AI,Qwen2.5-Coder-3B,30,4,7,9,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_45,AI,Qwen2.5-Coder-3B,18,6,10,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_46,AI,Qwen2.5-Coder-3B,33,3,21,0,2,60.6060606060606,0,1,1,0,0,0,0,0,0,2,60.60606060606061
ClassEval_47,AI,Qwen2.5-Coder-3B,24,4,11,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_48,AI,Qwen2.5-Coder-3B,15,3,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_49,AI,Qwen2.5-Coder-3B,18,7,14,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
ClassEval_50,AI,Qwen2.5-Coder-3B,23,3,10,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
